86	2021-02-04	\N	350000	350004	350004	350000
87	2020-04-24	VA. Paid by cheque 10265580	250000	250001	160001	160000
88	2020-06-18	General Admin. Paid by cheque 10265596	160000	\N	160001	160000
89	2020-06-29	General Admin. Paid by cheque 10265597	160000	\N	160001	160000
90	2020-07-06	General Admin. Paid by cheque 10265602	160000	\N	160001	160000
91	2020-07-18	UUV. Paid by cheque 10265607	300000	300002	160001	160000
92	2020-12-07	SOSE Lab. Paid by cheque 10265637	400000	400001	160001	160000
93	2020-12-24	SOSE Lab. Paid by cheque 10265646	400000	400001	160001	160000
94	2020-12-28	SOSE Lab. Paid by cheque 10265647	400000	400001	160001	160000
95	2020-12-30	SOSE Lab. Paid by cheque 10265648	400000	400001	160001	160000
96	2019-11-11	\N	160000	\N	200003	200000
97	2019-11-11	\N	200000	200003	200003	200000
98	2019-02-28	This purchase case includes 3 cases: Min 97 - 157,037. Min 109 - 25,262. Min 110 - 26,152.	350000	350002	350002	350000
99	2019-02-28	\N	350000	350002	350002	350000
100	2019-11-30	\N	350000	350002	350002	350000
101	2020-09-01	\N	450000	450001	200004	200000
102	2020-09-01	\N	160000	\N	200004	200000
103	2020-09-01	\N	160000	\N	200004	200000
104	2020-08-01	\N	300000	300001	300001	300000
105	2020-08-01	\N	300000	300001	300001	300000
106	2019-02-28	\N	350000	350002	350002	350000
107	2019-02-28	\N	350000	350002	350002	350000
108	2019-02-28	\N	350000	350002	350002	350000
109	2019-02-28	\N	350000	350002	350002	350000
110	2019-02-28	\N	350000	350002	350002	350000
111	2019-11-30	\N	350000	350002	350002	350000
112	2019-11-30	\N	350000	350002	350002	350000
113	2019-11-30	\N	350000	350002	350002	350000
114	2019-11-30	\N	350000	350002	350002	350000
115	2019-12-11	\N	350000	350002	350002	350000
116	2019-12-12	\N	350000	350002	350002	350000
117	2019-12-13	\N	350000	350002	350002	350000
118	2020-02-19	\N	350000	350002	350002	350000
119	2020-02-19	\N	350000	350002	350002	350000
120	2020-02-19	\N	350000	350002	350002	350000
121	2020-02-19	\N	350000	350002	350002	350000
122	2020-02-19	\N	350000	350002	350002	350000
123	2020-02-07	\N	300000	300002	350002	350000
124	2020-02-19	\N	350000	350002	350002	350000
125	2020-02-19	\N	350000	350002	350002	350000
126	2020-02-19	\N	350000	350002	350002	350000
127	2020-02-19	\N	350000	350002	350002	350000
128	2020-02-19	\N	350000	350002	350002	350000
129	2020-02-19	\N	350000	350002	350002	350000
130	2020-02-12	\N	300000	300002	350002	350000
131	2020-02-10	\N	300000	300002	350002	350000
132	2020-02-08	\N	300000	300002	350002	350000
133	2020-02-09	\N	300000	300002	350002	350000
134	2020-03-19	\N	350000	350002	350002	350000
135	2020-03-19	\N	350000	350002	350002	350000
136	2020-03-19	\N	350000	350002	350002	350000
137	2020-03-19	\N	350000	350002	350002	350000
138	2020-05-19	\N	350000	350002	350002	350000
139	2020-05-19	\N	350000	350002	350002	350000
140	2020-07-20	\N	350000	350002	350002	350000
141	2021-02-02	\N	300000	300001	300001	300000
142	2020-08-20	GPS. Paid by cheque 10265616	350000	350002	160001	160000
143	2020-09-21	General Admin. Paid by cheque 10265619	160000	\N	160001	160000
144	2020-10-12	General Admin. Paid by cheque 10265625	160000	\N	160001	160000
145	2020-11-25	Power Lab. Paid by cheque 10265635	450000	450002	160001	160000
146	2020-12-01	General Admin. Paid by cheque 10265636	160000	\N	160001	160000
147	2020-12-21	General Admin. Paid by cheque 10265642	160000	\N	160001	160000
149	2021-01-18	Dir System. Paid by cheque 10265650	450000	450002	160001	160000
150	2021-03-04	So Admin. Paid by cheque 10310338	160000	\N	160001	160000
151	2021-03-15	So Admin. Paid by cheque 10310340	160000	\N	160001	160000
152	2020-12-01	\N	300000	300001	300001	300000
153	2020-10-01	\N	350000	350005	350005	350000
154	2020-12-20	\N	350000	350005	350005	350000
155	2021-02-01	\N	350000	350005	350005	350000
156	2021-03-04	\N	350000	350005	350005	350000
157	2020-12-20	\N	350000	350004	350004	350000
158	2021-02-03	\N	350000	350004	350004	350000
159	2020-11-20	\N	350000	350003	350003	350000
160	2020-12-01	\N	350000	350003	350003	350000
161	2021-01-01	\N	350000	350003	350003	350000
162	2021-03-11	\N	350000	350003	350003	350000
166	2020-11-20	\N	350000	350002	350002	350000
