196	firm	Mobile	+923212447596
196	firm	Landline	+922134687994
191	firm	Mobile	+3172825384
191	firm	Landline	+924235712954
135	firm	Email	zartexinternational@gmail.com
66	firm	Email	adieauineral@gmail.com
89	firm	Landline	+922138798328
89	firm	Email	info@amrlisteels.com
89	firm	Website	www.amrelisteels.com
12	firm	Landline	+922134913725
12	firm	Landline	+922134933426
12	firm	Email	info@crownsystems.org
12	firm	Website	www.crownsystems.org
34	firm	Email	md@r-and-d.com.pk
147	firm	Email	mail@komputerkorner.net
147	firm	Website	www.komputerkorner.net
54	firm	Mobile	+923212500430
54	firm	Landline	+922134550794
88	firm	Email	info@adilenterprises.org.pk
88	firm	Website	www.adilenterprises.org.pk
12	firm	Mobile	+923332348004
173	firm	Mobile	+923460359158
173	firm	Landline	+922132733176
173	firm	Email	zkhan2270@yahoo.com
2	firm	Mobile	+923002624690
62	firm	Mobile	+923462656860
62	firm	Email	info@karamad.pk
62	firm	Website	www.karamd.pk
55	firm	Landline	+922135300262
55	firm	Website	www.traiq.com
71	firm	Mobile	+923168055840
59	firm	Mobile	+923002288875
212	firm	Mobile	+923002288875
12	person	Mobile	+923332225898
13	person	Mobile	+923658745877
12	person	Mobile	+923042225898
12	person	Email	hussain.sajjad@telec.com.pk
16	person	Mobile	+923333215911
93	firm	Landline	+092215061004
93	firm	Landline	+092215067668
93	firm	Fax	+092215066416
92	firm	Landline	+922132553111
92	firm	Landline	+922132553112
92	firm	Mobile	+923002581111
92	firm	Email	info@digitekkengineering.pk
23	firm	Email	info@idaerospace.com
95	firm	Mobile	+923005117778
95	firm	Landline	+920518444748
95	firm	Email	info@signatics-solution.com
91	firm	Landline	+922135873437
8	firm	Website	www.axpervision.com
8	firm	Email	info@axpertvision.com
8	firm	Landline	+922135070061
8	firm	Landline	+922135070062
8	firm	Landline	+922135070063
8	firm	Fax	+922135070065
94	firm	Website	www.Sig2Sol.com
96	firm	Mobile	+923332276437
97	firm	Landline	+092134312051
18	firm	Email	info@epesol.com
18	firm	Landline	+924235884232
2	firm	Mobile	+923122450005
42	office	Landline	+922135217201
42	office	Fax	+922135680908
42	office	Email	sales@telec.com.pk
42	office	Website	www.telec.com.pk
43	office	Landline	+923512546054
43	office	Fax	+923515731331
42	office	Landline	+922135224219
43	office	Website	www.telec.com.pk
43	office	Email	sales@telec.com.pk
48	office	Landline	+920518444748
50	office	Mobile	+923009247888
55	office	Landline	+092134312051
55	office	Email	info@wondertree.co
66	office	Email	info@dts.com.pk
70	office	Landline	+922136962524
72	office	Landline	+922135863707
62	office	Mobile	+923452490557
71	office	Mobile	+923120012471
79	office	Landline	+922134933426
79	office	Landline	+922134913725
79	office	Email	info@crownsystems.org
79	office	Website	www.crownsystems.org
51	office	Landline	+922135248624
18	firm	Website	www.epesol.com
5	firm	Mobile	+923159150161
5	firm	Email	alumerenterprises2019@gmail.com
40	firm	Landline	+922135217201
40	firm	Email	sales@telec.com.pk
40	firm	Website	www.telect.com.pk
24	firm	Mobile	+923212066521
24	firm	Email	ops@iqraorient.com
24	firm	Email	iqraorient@gamil.com
190	firm	Mobile	+923173306559
190	firm	Email	hbrmultisolution@gmail.com
162	firm	Mobile	+923028285812
162	firm	Landline	+922135300262
162	firm	Website	www.qvise.com
162	firm	Email	infor@qvise.com
185	firm	Mobile	+923452490557
185	firm	Email	muhammadtaqi4768@gamil.com
31	firm	Mobile	+923454930530
31	firm	Mobile	+923002233984
58	firm	Mobile	+923006964323
