257	54	Financial Status	2022-02-01	Director Sensors	AV	UCAV/FS/Pref19	54A
15	20	Financial Status	2021-10-21	Director Sensors	L	VFD/FS/8	20 A
15	21	Market Research Report	2021-10-21	Director Sensors	M	VFD/8/1-2	21 A/N
19	43	Project Proposal/Digest	2021-10-22	Director Sensors	AS	INTELL/HSTD/v1	43 A/S
19	44	Financial Status	2021-10-22	Director Sensors	AT	HSTD/FS/18	44 A/B
19	45	Market Research Report	2021-10-22	Director Sensors	AU	HSTD/18/1-2	45 A/M
22	23	Market Research Report	2021-10-04	Director NWS	B	\N	23 A/C
22	-25	Work Order	2020-07-29	Director R AND D	D	\N	25 A/F
22	22	Financial Status	2021-10-25	Director NWS	A	\N	22 A
22	-24	Project Proposal/Digest	2020-07-01	Director NWS	C	\N	24 A/J
37	-1	Project Proposal/Digest	2021-09-04	Director Comm	C	\N	1-A
37	37	Financial Status	2021-10-28	Director Comm	A	Nil	37-A
37	38	Market Research Report	2021-10-28	Director Comm	B	\N	38-A/H
21	9	Market Research Report	2021-10-22	Director Sensors	F	RAV2/2/1-3	9 A/Y
21	8	Financial Status	2021-10-22	Director Sensors	E	RAV2/FS/2	8 A
21	7	Project Proposal/Digest	2021-10-22	Director Sensors	D	INTELL/RAV2/v1	7 A/C
44	38	Market Research Report	2021-11-11	Director Sensors	AN	UCAV/MS/15-3	38A/AB
39	-24	Project Proposal/Digest	2020-07-01	Director NWS	C	\N	24-A/J
39	25	Market Research Report	2021-11-05	Director NWS	B	\N	25-A/D
39	26	Financial Status	2021-11-05	Director NWS	A	\N	26-A
40	-24	Project Proposal/Digest	2020-07-01	Director NWS	C	\N	24-A/J
40	25	Market Research Report	2021-11-05	Director NWS	B	\N	25-A/D
40	26	Financial Status	2021-11-05	Director NWS	A	\N	26-A
42	40	Financial Status	\N	Director Comm	\N	\N	\N
43	36	Financial Status	2021-11-11	Director Sensors	AM	FS/15	36A
43	37	Market Research Report	\N	Director Sensors	\N	\N	37
257	55	Market Research Report	2022-02-01	Director Sensors	AW	UCAV/MS/19-2	55A/X
41	1	Financial Status	\N	\N	\N	\N	\N
43	1	Financial Status	\N	\N	\N	\N	\N
263	232	Financial Status	2022-02-07	Director Sensors\r\n                 (A.O.D)	AB	EH/FS/201	232A
44	37	Financial Status	2021-11-11	Director Sensors	AM	UCAV/FS/15	37A
44	36	Project Proposal/Digest	2021-11-11	Director Sensors	D	INTELL/UCAV/P1	36A/AE
263	233	Market Research Report	2022-02-07	Director Sensors\r\n                 (A.O.D)	AC	EH/MS/201/1	233A/N
263	-234	Project Proposal/Digest	2018-07-04	Director Sensors	A	PN/NCW/03/1187932	225A/E
254	-1	Approval In Principal	2021-10-08	Director Comm	B	\N	32-A
256	-1	Approval In Principal	2021-10-21	Director Sensors	K	INTELL/VFD/v1	19 A/H
258	11	Financial Status	2022-02-01	Director Sensors	G	RAV2/FS/3	11A
258	12	Market Research Report	2022-02-01	Director Sensors	H	RAV2/MS/3/1-4	12A/AW
218	1	Financial Status	\N	\N	\N	\N	\N
219	1	Financial Status	\N	\N	\N	\N	\N
221	1	Financial Status	\N	\N	\N	\N	\N
41	2	Market Research Report	\N	\N	\N	\N	\N
43	2	Market Research Report	\N	\N	\N	\N	\N
260	32	Market Research Report	2022-02-03	Director NWS	B	\N	32-A/D
260	31	Financial Status	2022-02-03	Director NWS	A	\N	31-A
260	-24	Project Proposal/Digest	2020-07-01	Director NWS	C	\N	24-A/J
261	-1	Project Proposal/Digest	2020-08-20	Director Comm	C	Nil	3-A/F
261	60	Market Research Report	2022-02-03	Director Comm	B	Nil	60-A/G
261	59	Financial Status	2022-02-03	Director Comm	A	Nil	59-A
218	2	Market Research Report	\N	\N	\N	\N	\N
219	2	Market Research Report	\N	\N	\N	\N	\N
221	2	Market Research Report	\N	\N	\N	\N	\N
222	37	Financial Status	2021-11-22	Director Comm	A	\N	37-A
222	38	Market Research Report	2021-11-22	Director Comm	B	\N	38-A/S
223	41	Market Research Report	2021-11-26	Director Sensors	AQ	UCAV/MS/16-3	41A/Q
223	40	Financial Status	2021-11-26	Director Sensors	AP	UCAV/FS/16	40A
223	-36	Project Proposal/Digest	2021-11-11	Director Sensors	D	INTELL/UCAV/P1	36A/AE
224	40	Financial Status	2021-12-02	Director Comm	A	Nil	40-A
224	41	Market Research Report	2021-12-02	Director Comm	B	Nil	41-A/D
225	-36	Project Proposal/Digest	2021-11-11	Director Sensors	D	INTELL/UCAV/P1	36A/AE
225	40	Financial Status	2021-12-02	Director Sensors	AP	UCAV/FS/PRef16	40A
225	41	Market Research Report	2021-12-02	Director Sensors	AQ	UCAV/MS/16-3	41A/Z
226	43	Financial Status	2021-12-03	Director Comm	A	Nil	43-A
226	44	Market Research Report	2021-12-03	Director Comm	B	Nil	44-A/B
226	-1	Project Proposal/Digest	\N	\N	C	Nil	3-A/F
224	-1	Project Proposal/Digest	\N	\N	C	\N	3-A/F
230	29	Financial Status	2021-12-13	Director NWS	A	\N	29-A
230	-24	Project Proposal/Digest	2020-07-01	Director NWS	C	\N	24-A/J
231	28	Market Research Report	2021-12-13	Director NWS	B	\N	28-A/D
231	29	Financial Status	2021-12-13	Director NWS	A	\N	29-A
231	-24	Project Proposal/Digest	2020-07-01	Director NWS	C	\N	24-A/J
233	4	Project Proposal/Digest	2021-10-14	Directo Comm	D	Nil	4-A/C
233	3	Market Research Report	2021-12-15	Director Comm	C	Nil	3-A/E
231	27	Status/List of Computers	2021-12-17	Director NWS	E	\N	27-A
233	2	Financial Status	2021-12-15	Director Comm	B	Nil	2-A
228	8	Project Proposal/Digest	2021-12-09	Director Sensors R&D	D	RUL/Proposal	8A/M
234	43	Project Proposal/Digest	2021-12-21	Director Sensors	AS	INTELL/HSTD/Proposal	43A/S
228	9	Financial Status	2021-12-09	Director Sensors R&D	E	RUL/FS/PRef2	9A
228	10	Market Research Report	2021-12-09	Director Sensors R&D	F	RUL/MS/PRef2	10 A/W
227	31	Project Proposal/Digest	2021-12-09	Director Sensors R&D	AG	MC/Proposal	31A/T
258	-14	Project Proposal/Digest	2021-10-22	Director Sensors	D	INTELL/RAV2/v1	7A/C
227	32	Financial Status	2021-12-09	Director Sensors R&D	AH	MC/FS/Pref14	32A
227	33	Market Research Report	2021-12-09	Director Sensors R&D	AJ	MC/MS/Pref14	33A/F
234	44	Financial Status	2021-12-21	Director Sensors	AT	HSTD/FS/PRef18	44A
230	28	Market Research Report	2021-12-13	Director NWS	B	\N	28-A/D
234	45	Market Research Report	2021-12-21	Director Sensors	AU	HSTD/MS/PRef18/1-2	45A/?
235	43	Project Proposal/Digest	2021-12-21	Director Sensors	AS	HSTD/Proposal	43A/S
235	44	Financial Status	2021-12-21	Director Sensors	AT	HSTD/FS/PRef18	44A
238	44	Market Research Report	2021-12-24	Director Sensors	AS	UCAV/MS/17-3	44 A/AJ
615	3	Purchase Case	2023-11-24	SO Admin	\N	1328	3
232	226	Financial Status	2021-12-15	Director Sensors	Z	GPS/FS/200	226A/E
236	19	Project Proposal/Digest	2021-12-23	Director Sensors	K	INTELL/VFD/v1	19A/H
232	225	Project Proposal/Digest	2018-07-04	DG C4I	A	GPS/ProjDigest	225 A/
232	227	Market Research Report	2021-12-15	Director Sensors	AA	GPS/MS/200	227 A/G
233	1	Work Order	2021-10-04	DSMR WE	A	SMR-WE/1814/CDS/310	1-A/F
237	225	Project Proposal/Digest	2018-07-04	Director Sensors	A	PN/NCW/03/1187932	225A/E
236	20	Financial Status	2021-12-23	Director Sensors	L	VFD/FS/8	20A
236	21	Market Research Report	2021-12-23	Director Sensors	M	VFD/MS/8/1-2	21A/AE
237	226	Financial Status	2021-12-24	Director Sensors	Z	EH/FS/200	226A
237	227	Market Research Report	2021-12-24	Director Sensors	AA	EH/MS/200/1-2	227A/M
239	-1	Project Proposal/Digest	2020-07-15	Director Comm	C	Nil	3-A/F
238	-36	Project Proposal/Digest	2021-11-11	Director Sensors	D	INTELL/UCAV/P1	36A/AE
239	48	Financial Status	2021-12-24	Director Comm	A	Nil	49-A
239	49	Market Research Report	2021-12-24	Director Comm	B	Nil	50-A/D
241	21	Market Research Report	2021-12-27	Director Sensors	M	VFD/MS/8/1-2	21A/AE
240	19	Project Proposal/Digest	2021-12-24	Director Sensors	K	INTELL/VFD/v1	19A/H
240	20	Financial Status	2021-12-24	Director Sensors	L	VFD/FS/8	20A
240	21	Market Research Report	2021-12-24	Director Sensors	M	VFD/MS/8/1-2	21A/AE
241	19	Project Proposal/Digest	2021-12-27	Director Sensors	K	INTELL/VFD/v1	19A/H
242	51	Financial Status	2021-12-28	Director Comm	A	Nil	51-A
242	52	Market Research Report	2021-12-28	Director Comm	B	Nil	52-A/E
243	54	Financial Status	2022-01-03	Director Comm	A	Nil	54-A
241	20	Financial Status	2021-12-27	Director Sensors	L	VFD/FS/8	20A
243	55	Market Research Report	2022-01-03	Director Comm	B	Nil	55-A/D
243	-1	Project Proposal/Digest	2019-08-20	Director Comm	C	Nil	3-A/F
244	-1	Approval in Principle	\N	\N	\N	\N	\N
245	-1	Approval in Principle	\N	\N	\N	\N	\N
246	-1	Approval in Principle	\N	\N	\N	\N	\N
247	-1	Approval in Principle	\N	\N	\N	\N	\N
248	-1	Approval in Principle	\N	\N	\N	\N	\N
249	-1	Approval in Principle	\N	\N	\N	\N	\N
235	45	Market Research Report	2021-12-21	Director Sensors	AU	HSTD/MS/PRef18/1-2	45A/K
262	2	Work Order	2022-01-19	DSMM	B	Nil	2-A/E
250	51	Financial Status	2022-01-11	Director Sensors	AT	UCAV/FS/Pref18	51A
250	52	Market Research Report	2022-01-11	Director Sensors	AU	UCAV/MS/18	52 A/Y
251	-37	Project Proposal/Digest	2021-12-09	Director Sensors	AG	MC/Proposal	31 A/T
262	3	Market Research Report	2022-02-07	Director Comm	\N	Nil	\N
262	1	Project Proposal/Digest	2021-10-12	Director Comm	A	Nil	1-A/D
262	4	Financial Status	2022-02-07	Director Comm	\N	Nil	\N
252	-24	Project Proposal/Digest	2020-07-01	Director NWS	C	\N	24-A/J
238	43	Financial Status	2021-12-24	Director Sensors	AR	UCAV/FS/Pref17	43 A
251	36	Market Research Report	2022-01-12	Director Sensors	AL	MC/MS/Pref15/1-2	36A/Q
251	35	Financial Status	2022-01-12	Director Sensors	AK	MC/FS/Pref15	35A
264	-24	Project Proposal/Digest	2020-07-01	Director NWS	C	\N	24-A/J
257	-57	Project Proposal/Digest	2021-11-11	Director Sensors	D	INTELL/UCAV/P1	36A/AE
