100000	Navy Research and Development Institute	Institute	NRDI	2001-01-01	\N	\N	100000	\N
160000	Research and Development Wing	Wing	RDW	2001-01-01	\N	\N	160000	\N
180000	Projects Department	Department	PROJECTS	2001-01-01	\N	\N	180000	\N
200000	Communication Division	Division	COMM	2001-01-01	\N	\N	200000	\N
250000	Enabling Technology Division	Division	ENAB	2001-01-01	\N	\N	250000	\N
300000	Naval Weapons System Division	Division	NWS	2001-01-01	\N	\N	300000	\N
350000	Sensors Division	Division	SENSORS	2001-01-01	\N	\N	350000	\N
400000	System of Systems Division	Division	SOS	2001-01-01	\N	\N	400000	\N
450000	Systems Division	Division	SYS	2001-01-01	\N	\N	450000	\N
800000	Finance Department	Department	FIN	2001-01-01	\N	\N	800000	\N
820000	Human Resource Department	Department	HR	2001-01-01	\N	\N	820000	\N
840000	Administration Department	Department	ADMIN	2001-01-01	\N	\N	840000	\N
860000	Information Technology Department	Department	IT	2001-01-01	\N	\N	860000	\N
880000	Information System Department	Department	IS	2001-01-01	\N	\N	880000	\N
990000	External	External	EXT	2001-01-01	\N	\N	990000	\N
990001	Project Funder	ExtHead	PFND	2001-01-01	\N	\N	990000	\N
990009	Other Source	ExtHead	OSRC	2001-01-01	\N	\N	990000	\N
990011	MTSS	ExtHead	MTSS	2001-01-01	\N	\N	990000	\N
990019	Other Consumer	ExtHead	OCNM	2001-01-01	\N	\N	990000	\N
200007	Development of NIU for PNS/M HAMZA	Project	NIU-HZ	2021-10-20	\N	1	200000	200007
200001	Metgraph	Project	MET	2001-01-01	\N	1	200000	200001
200003	Indigenous development of NIU for PNS/M HURMAT	Project	NIU	2019-06-20	\N	1	200000	200003
200004	Overhaul of ELINT System of RDS Nathiagali	Project	ELINT	2019-10-01	\N	2	200000	200004
200008	Functional Replacement of CRTs of CDS with LED Displays for PNS ALAMGIR	Project	CDS	2021-10-20	\N	1	200000	200008
250001	Video Analytics	Project	VA	2016-07-15	\N	2	250000	250001
250002	Establishment of Virtual Reality Center	Project	VRC	2020-08-27	\N	2	250000	250002
300001	Indigenous Development of ROV for UW Operations onboard MCMVs	Project	ROV	2019-09-03	\N	2	300000	300001
300002	Unmanned Underwater Vehicle	Project	UUV	2010-04-17	2020-04-05	2	300000	300002
350002	Eagle Hunt - UAVs GPS jamming and spoofing	Project	EH	2018-02-01	\N	1	350000	350002
350003	Directed Energy Weapons	Project	MC	2020-02-12	\N	2	350000	350003
