9	350005	Milestone	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	135
1	200002	Milestone	Concept Demonstration	\N	\N	2017-12-03	2017-11-28	\N	\N	\N	Completed	\N	1
2	200002	Milestone	Validation onboard PNS SAIF and ZULFIQUAR	\N	\N	2018-01-03	2018-01-12	\N	\N	\N	Completed	\N	2
3	200002	Milestone	Interfacing of 04 x F22P Ships	\N	\N	2018-04-03	2019-01-15	\N	\N	\N	Completed	\N	3
1	200003	Milestone	Global Plan	\N	\N	2020-03-20	2020-01-31	\N	\N	\N	Completed	\N	5
2	200003	Milestone	CDR	\N	\N	2020-12-31	2020-12-15	\N	\N	\N	Completed	hardware ordered	6
3	200003	Milestone	Analog interfaces	\N	\N	2020-07-31	2020-01-31	\N	\N	\N	Completed	\N	7
6	200003	Milestone	Warranty	\N	\N	2023-09-30	2023-10-31	\N	\N	\N	Completed	\N	10
1	200004	Milestone	Submission of Project Plan	\N	\N	2020-10-20	2020-10-20	\N	\N	\N	Completed	\N	11
2	200004	Milestone	Submission of baseline performance analysis	\N	\N	2020-11-23	2021-03-15	\N	\N	\N	Completed	\N	12
3	200004	Milestone	Submission of hardware purchase order	\N	\N	2021-11-30	2021-12-15	\N	\N	\N	Completed	\N	13
6	200004	Milestone	Warranty	\N	\N	2022-06-15	\N	\N	\N	\N	Awaited	\N	16
1	200006	Milestone	Submission of GPP and list of deliverables	4000000	\N	2022-02-04	2022-01-25	\N	\N	\N	Completed	\N	17
2	200006	Milestone	Submission of CDR	4000000	\N	2022-02-21	2022-01-25	\N	\N	\N	Completed	\N	18
3	200006	Milestone	Installation and testing of non-ruggedized prototype	4000000	\N	2022-03-21	2022-01-25	\N	\N	\N	Completed	\N	19
1	200007	Milestone	Submission of GPP	\N	\N	2022-04-14	2022-04-04	\N	\N	\N	Completed	\N	22
2	200007	Milestone	Submission of CDR	\N	\N	2022-05-14	2022-04-07	\N	\N	\N	Completed	\N	23
3	200007	Milestone	Installation of non-rugged prototype	\N	\N	2022-10-15	2022-11-07	\N	\N	\N	Completed	\N	24
1	200008	Milestone	Submission of Global Plan	2500000	\N	2021-11-20	2021-10-18	\N	\N	\N	Completed	\N	27
2	200008	Milestone	Submission of CDR	2500000	\N	2022-01-20	2022-05-15	\N	\N	\N	Completed	\N	28
3	200008	Milestone	Lab trials of Decoder and LEDs	3000000	\N	2022-03-21	2022-12-01	\N	\N	\N	Completed	\N	29
1	250001	Milestone	Face detection and recognition of registered pedestrians	\N	\N	2018-12-15	2018-12-15	\N	\N	\N	Completed	\N	47
2	250001	Milestone	Automatic number plate detection and  recognition of registered vehicles	\N	\N	2018-12-15	2018-12-15	\N	\N	\N	Completed	\N	48
3	250001	Milestone	Identification of stopped/ suspicious  vehicle on unit adjacent road	\N	\N	2018-12-15	2018-12-15	\N	\N	\N	Completed	\N	49
6	250001	Milestone	Object Classification	\N	\N	2019-07-15	2019-07-15	\N	\N	\N	Completed	\N	52
7	250001	Milestone	Object (Persons and Vehicles) Count	\N	\N	2019-07-15	2019-07-15	\N	\N	\N	Completed	\N	53
8	250001	Milestone	Main GUI	\N	\N	2019-07-15	2019-07-15	\N	\N	\N	Completed	\N	54
0	250002	Milestone	Approval of VRC work order	0	\N	\N	\N	\N	\N	\N	Not started	\N	55
1	250002	Milestone	Submission of VR Center Plan and infrastructure design	4400000	\N	\N	\N	\N	\N	\N	Not started	\N	56
2	250002	Milestone	Basic VR infrastructure / test environment development	6600000	\N	\N	\N	\N	\N	\N	Not started	\N	57
3	250002	Milestone	Procurement of Batch-1 VR basic hardware such as computational equipment, headgear, body gear and controllers, scanners and 360 degree cameras etc. including installation and test/trials	6600000	\N	\N	\N	\N	\N	\N	Not started	\N	58
1	250003	Milestone	Acceptance of Work Order	0	\N	2023-07-15	2023-07-15	\N	\N	\N	Completed	\N	61
2	250003	Milestone	Submission of Initial Design Document	\N	\N	2023-07-31	2023-07-31	\N	\N	\N	Completed	\N	62
2	200011	Milestone	Acceptance by CICP	\N	\N	2022-12-28	2023-01-12	\N	\N	\N	Completed	\N	32
6	200013	Milestone	Warranty	\N	\N	2023-10-06	\N	\N	\N	\N	Not started	\N	39
1	200014	Milestone	Submission of Global Project Plan	\N	\N	2023-10-06	2023-10-06	\N	\N	\N	Completed	\N	40
1	300001	Milestone	Acceptance of Work Order	\N	\N	2020-07-10	2020-07-11	\N	\N	\N	Completed	\N	70
2	300001	Milestone	Submission of Project Plan	\N	\N	2020-08-09	2020-08-07	\N	\N	\N	Completed	\N	71
3	300001	Milestone	Submission of Hardware Purchase Order	\N	\N	2020-10-09	2020-10-09	\N	\N	\N	Completed	\N	72
1	300003	Milestone	Acceptance of Work Order	\N	\N	2022-01-01	2022-01-01	\N	\N	\N	Completed	\N	75
2	300003	Milestone	Submission of Project Plan	\N	\N	2022-02-01	2022-01-24	\N	\N	\N	Completed	\N	76
3	300003	Milestone	Submission of Hardware Purchase Order	\N	\N	2022-03-01	2022-01-24	\N	\N	\N	Completed	\N	77
