86	2021-02-04	\N	Fulfilled	350000	350004	UK	2021-02-04 00:00:00	350004	7732128	0	7732128	1314461.76	9046589.76	ROTAX Engine	19	Ps	350000	350000	2	f	\N	7	\N	1	1011-01-01 00:00:00	\N
87	2020-04-24	VA. Paid by cheque 10265580	Fulfilled	250000	250001	UK	2020-04-24 00:00:00	160001	312000	0	312000	0	312000	Project Equipment	1	Ps	160000	250000	2	f	\N	\N	\N	1	1011-01-01 00:00:00	\N
88	2020-06-18	General Admin. Paid by cheque 10265596	Fulfilled	160000	\N	UK	2020-06-18 00:00:00	160001	49000	0	49000	0	49000	Equipment	2	Ps	160000	800000	2	f	\N	\N	\N	1	1011-01-01 00:00:00	\N
89	2020-06-29	General Admin. Paid by cheque 10265597	Fulfilled	160000	\N	UK	2020-06-29 00:00:00	160001	48000	0	48000	0	48000	Equipment	2	Ps	160000	800000	2	f	\N	\N	\N	1	1011-01-01 00:00:00	\N
90	2020-07-06	General Admin. Paid by cheque 10265602	Fulfilled	160000	\N	UK	2020-07-06 00:00:00	160001	97500	0	97500	0	97500	Equipment	2	Ps	160000	800000	2	f	\N	\N	\N	1	1011-01-01 00:00:00	\N
91	2020-07-18	UUV. Paid by cheque 10265607	Fulfilled	300000	300002	UK	2020-07-18 00:00:00	160001	49000	0	49000	0	49000	Equipment	2	Ps	160000	300000	2	f	\N	\N	\N	1	1011-01-01 00:00:00	\N
92	2020-12-07	SOSE Lab. Paid by cheque 10265637	Fulfilled	400000	400001	UK	2020-12-07 00:00:00	160001	300000	0	300000	0	300000	Renovation SOSE lab	2	Ps	160000	400000	2	f	\N	\N	\N	1	1011-01-01 00:00:00	\N
93	2020-12-24	SOSE Lab. Paid by cheque 10265646	Fulfilled	400000	400001	UK	2020-12-24 00:00:00	160001	280000	0	280000	0	280000	Renovation of SOSE Lab	2	Ps	160000	400000	2	f	\N	\N	\N	1	1011-01-01 00:00:00	\N
94	2020-12-28	SOSE Lab. Paid by cheque 10265647	Fulfilled	400000	400001	UK	2020-12-28 00:00:00	160001	270000	0	270000	0	270000	Renovation of SOSE Lab	2	Ps	160000	400000	2	f	\N	\N	\N	1	1011-01-01 00:00:00	\N
95	2020-12-30	SOSE Lab. Paid by cheque 10265648	Fulfilled	400000	400001	UK	2020-12-30 00:00:00	160001	150000	0	150000	0	150000	Renovation of SOSE Lab	2	Ps	160000	400000	2	f	\N	\N	\N	1	1011-01-01 00:00:00	\N
96	2019-11-11	\N	Fulfilled	160000	\N	UK	2019-11-11 00:00:00	200003	366492	0	366492	0	366492	Loan for furniture of D FIN office in MD Secretariat	2	Ps	200000	200000	1	f	\N	1	\N	1	2022-02-02 00:00:00	\N
97	2019-11-11	\N	Fulfilled	200000	200003	UK	2019-11-11 00:00:00	200003	411518	0	411518	0	411518	Industrial PCs	2	Ps	200000	200000	1	f	\N	1	\N	1	1011-01-01 00:00:00	\N
98	2019-02-28	This purchase case includes 3 cases: Min 97 - 157,037. Min 109 - 25,262. Min 110 - 26,152.	Fulfilled	350000	350002	UK	2019-02-28 00:00:00	350002	208451	0	208451	0	208451	Purchase for project	2	Ps	350000	350000	1	f	\N	\N	\N	1	1011-01-01 00:00:00	\N
